CourseId,Review,Label,cld2,review_id
nurture-market-strategies,It would be better if the instructors cared to respond to queries.,1,en,1
nand2tetris2,Superb course. Great presentation and course material. Projects are challenging but fun at the same time. Highly recommend for all levels of software developers.,5,en,2
schedule-projects,Excellent course!,5,en,3
teaching-english-capstone-2,I'd recommend this course to anyone who wishes to teach English. I've enjoyed its creativity and the way the professors have taught throughout the entire course. It deserves ten stars not just five. Great job !,5,en,4
machine-learning,"This course was so effective in introducing me to machine learning and giving me extremely practical experience implementing the algorithms. I really appreciated the programming assignments; very tangible and direct way to learn. Completing them has given me confidence in using these skills and a code reference I can turn back to in the future. I truly appreciate the teaching of Andrew Ng, I have taken many CS classes at UC Berkeley and found this to give just as fantastic instruction as a full semester in person course. Im honestly shocked at how learning can be so much easier through this online format. Thanks again!",5,en,5
python-network-data,"Words cannot describe how useful this courses have been for me, 10 stars if possible!",5,en,6
clinical-trials,Great course!,5,en,7
python-genomics,I didn't know anything about programming and needed a lot of help with this course. I would have like more help in getting python and its complements install. Thanks.,3,en,8
strategic-management,"Loved everything about this course and Coursera! The course is clear, concise and the professor kept it interesting all through. The user experience online and on the mobile app is a delight. I could learn and complete the course with minimal changes to my regular schedule and a full time job.",5,en,9
script-writing,"No significant instruction/teaching provided. Appears to function only as a self-directed workshop, which doesn't teach the craft itself. Disappointing.",1,en,10
machine-learning,Understanding of machine learning made so easy.,5,en,11
advanced-data-structures,Great course!,5,en,12
dino101,Great course! Thank you!,5,en,13
text-retrieval,This course is really great but the programming assignments need to be updated.,4,en,14
power-electronics,"Very clear course, interesting assignments. It could be even more interesting to get access to the solutions of the assignments.",5,en,15
principles-of-macroeconomics,"Very interesting and well delivered material, that gives understanding of what macroeconomics is even to those who have had no idea of what it is before.",5,en,16
positive-psychology,putting words to fit the daily experiences have increased my understanding,5,en,17
analytics-excel,"Excellent class. Much tougher than expected. I went in thiinking I was an Excel guru, and learned a ton.",5,en,18
developer-iot,"Gained very good understanding of how to register and connect an IoT device / gateway to Watson IoT Platform. Use Watson IoT APIs, Python APIs, Node.js APIs to send, receive and process events / commands and learnt how to use a Node-RED UI Flows to handle IoT requests from Raspberry Pi & Sense HAT devices. The hands-on labs and exercises inspired me to try out other examples / ideas to further extend my IoT knowledge boundaries. Thank you!",5,en,19
html,Instructor is wonderful explaining Html5 for newbies. I did enjoy to take this class and learn about html5!,5,en,20
project-planning,"good overview of concepts, nice instructional design",4,en,21
aprender,"This course it is greate, I learned a lot of.",5,en,22
python,Its a great course ......highly recommended,4,en,23
introduction-to-software-product-management,Its really great for beginners.,5,en,24
object-oriented-java,theoretical and practical balance,5,en,25
clinical-skills,"Excelent Course, fully recommended.",5,en,26
craft-of-character,Terrific class that does a great job of teaching how to write believable characters. I also learned a lot about how to incorporate your characters in your setting and how to write different points of view.,5,en,27
androidapps-2,Great and helpful Course!,5,en,28
getting-started-with-essay-writing,excellent course ....,5,en,29
ml-regression,It is a very thorough course.,5,en,30
machine-learning,"Thanks for Andrew Ng, and Coursera Team.This ML course is a life milestone for me, as it helped me entered into a new world of artificial intelligence.Andrew has used his clear mind and detail intuition to help me understand the keystone ideas of ML.This is the best course I've ever had!",5,en,31
social-media-pr,This cours is really well prepared and very interesting! Thank you very much for making it!,5,en,32
teaching-character,It is very good,5,en,33
getting-started-with-essay-writing,I love this course. It helped me so much in writing essays.,5,en,34
technology-of-music-production,very informative. I really liked this lecture series.,5,en,35
matlab,Great homework exercises. Really enjoyed solving them.,5,en,36
buddhist-meditation,"The richness of materials presented in this ambitious course are impressive. There are lectures and interviews with professors and Buddhists from well beyond the expected disciplines of religion, sociology, and neuroscience--including education, law, and business. With guided mediation ""labs"" from three practitioners there's a style for everyone. Some of the lectures are dense and challenging to follow but well worth sticking with it. Looking forward to section two.",5,en,37
machine-learning,Great introduction to Machine Learning,4,en,38
raspberry-pi-interface,"While it is a good class, I have a message that one of my assignments is passed by not verified. I have no instructions on how to ""verify"" it. I'm disappointed something that should be simple is such a roadblock.",3,en,39
sustainable-development,"This is a really interesting and inspiring course and I learned a lot. I think some of the lectures, if not the whole course, should be compulsory viewing for our world's so-called political leaders and business leaders as well.",5,en,40
investments-fundamentals,Great learning experience. The video's are long but will definitely help you and your personal wealth.,5,en,41
environmental-law,Thanks for being a wonderful teacher and a jovial person.,5,en,42
business-writing,This course is not designed well.,1,en,43
mobile-robot,It's one of the best course on the robotics and mentors are also very helpful.,5,en,44
machine-learning,Hands on programming to go along with the great videos and slides. Andrew Ng has done a wonderful job with this course.,5,en,45
project-management-capstone,Worth it!!,5,en,46
negotiation-skills,Great course learn many things from it,5,en,47
physical-chemistry,it's perfect . you actually don't need to know nothing before starting this course !!,5,en,48
excel-analysis,great course for learning,5,en,49
iot,"Great course if you want a quick introduction on what is IoT, Sensors and Actuators etc..",5,en,50
machine-learning,so great and efficient,5,en,51
ml-foundations,I think this course is an excellent introductory survey of the topics and technologies relevant to machine learning. The teaching method is much more than a mere regurgitation of facts and contributes to an environment where topics can be truly learned and applied in the real world.,5,en,52
marketingplan,The lecturers have poor vocabulary and pronunciation and the videos are very repetitive. They r repeating the same thing in all the videos.,1,en,53
html-css-javascript,"Its ok and I liked the exercises, but I think you see to many themes and there is almost no practice for them. Its hard to learn them.",4,en,54
managing-talent,The class gave a very good insight into the various aspects of Talent Management. It included very helpful tools as well as detailed explanations. A big thank you to the professors. Having worked in the field of Talent Management for quite some time I finally have the theoretical knowledge to back up my daily work!,5,en,55
learning-how-to-learn,"One of the more invaluable courses available online, and its free. Information, tips and tricks contained in this course will definitely help seekers of learning effectively absorb new knowledge they're trying to acquire.",4,en,56
uva-darden-design-thinking-innovation,The best. So grateful for this class offering. A must-take course.,5,en,57
global-energy,It is very interesting. I gain a fundamental understanding of different resources of energy sources and linkages to world economy,5,en,58
physiology,Excellent!! Thanks to professors for their hard work and thanks to the university to give this opportunity free of charge.,5,en,59
positive-psychology-visionary-science,The course was excellent. I highly recommend it to anyone interested in this field.,5,en,60
marketing-digital,Very interesting and Innovative,5,en,61
english-composition,"Although it is supposed to be a basic course, it deals with fundamental topics that everyone should be aware during the writing process. It helped me a lot, mainly in what concerns with revising the work and making drafts",5,en,62
game-character-design,Instruction was through watching other characters designers talk about their process.,3,en,63
understanding-financial-markets,Superb course! The topics are beautifully explained. Very pragmatic and systematic approach to the issues.,5,en,64
grammar-punctuation,"Very good course. Short and sweet, it covers the essentials.",4,en,65
ruby-on-rails-intro,I found this course very entertaining and a good introduction to Ruby and Rails.,5,en,66
negotiation-skills,"Great course, rich for information, full of useful tips.",5,en,67
aids-fear-hope,it was very fun,5,en,68
