country,year,life,income,population,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017","World bank, 3 income groups 2017",UNHCR
Afghanistan,1799,28.2,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1800,28.2,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1801,28.2,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1802,28.2,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1803,28.2,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1804,28.2,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1805,28.1,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1806,28.1,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1807,28.1,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1808,28.1,683,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1809,28.1,684,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1810,28.1,684,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1811,28.1,684,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1812,28.1,684,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
Afghanistan,1813,28.1,684,3280000.0000000005,afg,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,Low income,Asia and the Pacific
